,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%
1,Dallas Cowboys,16,384,5959,1107,5.4,35,18,342,251,449,3176,25,17,6.6,167,625,2783,22,4.5,146,96,816,29,,
2,Miami Dolphins,16,372,4835,954,5.1,30,12,270,226,379,2469,24,18,6.1,135,548,2366,18,4.3,119,74,603,16,,
3,New York Jets,16,359,4857,993,4.9,37,9,277,193,388,2607,19,28,6,128,562,2250,21,4,131,102,854,18,,
4,New England Patriots,16,358,5965,1085,5.5,46,21,322,196,390,2800,15,25,6.8,125,671,3165,30,4.7,181,92,852,16,,
5,Pittsburgh Steelers,16,356,4996,1046,4.8,39,17,316,212,380,2699,28,22,6.7,149,641,2297,16,3.6,133,109,948,34,,
6,San Diego Chargers,16,355,5471,1099,5,51,21,315,271,477,3375,26,30,6.6,171,590,2096,16,3.6,116,98,748,28,,
7,Seattle Seahawks,16,345,5511,1072,5.1,41,19,345,261,467,3117,15,22,6.1,156,561,2394,28,4.3,150,94,789,39,,
8,Cleveland Browns,16,334,5347,1036,5.2,50,29,293,236,442,2859,22,21,6,130,559,2488,17,4.5,133,128,1170,30,,
9,Los Angeles Rams,16,316,5182,1109,4.7,44,22,301,236,466,2874,13,22,5.7,148,609,2308,12,3.8,128,133,1169,25,,
10,Oakland Raiders,16,311,4913,1049,4.7,43,12,309,251,433,2727,16,31,5.8,164,577,2186,18,3.8,116,108,948,29,,
11,Buffalo Bills,16,302,4630,974,4.8,34,17,274,203,388,2249,21,17,5.4,113,556,2381,15,4.3,132,120,1103,29,,
12,Minnesota Vikings,16,294,4779,1127,4.2,51,17,308,352,592,3243,25,34,5.2,176,505,1536,10,3,102,113,817,30,,
13,Detroit Lions,16,290,4465,1001,4.5,33,15,269,247,429,2302,19,18,4.8,141,525,2163,12,4.1,105,125,1003,23,,
14,Houston Oilers,16,283,4814,993,4.8,38,21,276,201,373,2338,16,17,6,119,603,2476,19,4.1,135,102,833,22,,
15,Denver Broncos,16,282,4829,1040,4.6,34,17,294,217,391,2378,17,17,5.4,137,601,2451,15,4.1,129,132,1092,28,,
16,New Orleans Saints,16,281,4996,1028,4.9,31,15,295,294,479,3151,17,16,6.1,154,512,1845,17,3.6,119,112,1044,22,,
17,Washington Redskins,16,273,4647,1021,4.6,37,16,261,212,438,2565,17,21,5.3,134,537,2082,10,3.9,99,116,978,28,,
18,Philadelphia Eagles,16,270,4653,1029,4.5,38,22,271,207,401,2197,16,16,5,112,587,2456,16,4.2,143,94,805,16,,
19,New York Giants,16,264,4449,1000,4.4,39,12,246,176,382,2145,13,27,5.1,101,580,2304,12,4,125,101,1016,20,,
20,Chicago Bears,16,253,4459,1020,4.4,36,8,262,186,352,1933,7,28,5,99,634,2526,19,4,136,101,958,27,,
21,Cincinnati Bengals,16,252,4872,1034,4.7,49,19,271,250,470,2741,14,30,5.4,141,526,2131,10,4.1,105,110,956,25,,
22,Green Bay Packers,16,249,4107,944,4.4,42,24,226,180,357,2084,11,18,5.3,101,550,2023,16,3.7,105,99,776,20,,
23,St. Louis Cardinals,16,248,5125,1084,4.7,35,14,281,252,508,3171,16,21,6,158,554,1954,14,3.5,103,106,890,20,,
24,Kansas City Chiefs,16,243,4820,1054,4.6,34,18,287,204,370,1834,7,16,4.7,98,663,2986,19,4.5,160,110,1048,29,,
25,Tampa Bay Buccaneers,16,241,3801,962,4,38,20,238,151,361,1703,12,18,4.1,101,549,2098,16,3.8,111,100,860,26,,
26,Atlanta Falcons,16,240,4062,1038,3.9,41,18,253,221,449,2402,11,23,4.8,133,533,1660,13,3.1,90,130,1083,30,,
27,Baltimore Colts,16,239,4107,964,4.3,47,17,249,202,383,2063,17,30,4.8,124,532,2044,9,3.8,95,90,771,30,,
28,San Francisco 49ers,16,219,4047,1062,3.8,63,27,257,190,435,1956,9,36,4.1,106,585,2091,14,3.6,117,115,930,34,,
