,,,,,Tot Yds & TO,,,,,Passing,,,,,,,Rushing,,,,,Penalties,,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%
1,Pittsburgh Steelers,16,416,6258,1080,5.8,52,26,337,272,492,3655,26,26,7,179,561,2603,25,4.6,141,108,866,17,,
2,San Diego Chargers,16,411,5583,1053,5.3,35,10,330,338,541,3915,24,25,6.8,192,481,1668,25,3.5,114,108,908,24,,
3,New England Patriots,16,411,5470,1128,4.8,39,16,318,237,475,3218,30,23,6.1,159,604,2252,16,3.7,132,99,864,27,,
4,Seattle Seahawks,16,378,5557,1046,5.3,36,18,315,292,523,3590,20,18,6.6,171,500,1967,24,3.9,121,104,903,23,,
5,Dallas Cowboys,16,371,5968,1122,5.3,34,21,339,287,503,3593,29,13,6.6,195,578,2375,15,4.1,122,100,845,22,,
6,New Orleans Saints,16,370,5627,996,5.6,36,14,315,257,428,3151,16,22,7.1,135,551,2476,28,4.5,160,93,812,20,,
7,Oakland Raiders,16,365,5174,1040,5,38,15,321,311,513,3411,27,23,6.2,191,491,1763,13,3.6,102,119,1024,28,,
8,Houston Oilers,16,362,4827,1034,4.7,32,11,268,195,386,2256,17,21,5.4,100,616,2571,24,4.2,149,109,947,19,,
9,Cleveland Browns,16,359,5772,1092,5.3,44,17,350,289,545,3491,28,27,5.9,189,504,2281,16,4.5,125,83,709,36,,
10,Washington Redskins,16,348,4904,1044,4.7,25,10,298,235,401,2576,20,15,5.9,144,609,2328,17,3.8,126,86,749,28,,
11,Miami Dolphins,16,341,4950,1006,4.9,37,15,297,235,416,2763,20,22,6.2,140,561,2187,19,3.9,126,79,651,31,,
12,Philadelphia Eagles,16,339,5031,1011,5,29,16,292,209,410,2610,21,13,5.9,150,567,2421,17,4.3,122,90,680,20,,
13,Cincinnati Bengals,16,337,4639,1049,4.4,29,14,289,228,426,2310,17,15,4.7,131,560,2329,23,4.2,138,88,744,20,,
14,New York Jets,16,337,5244,1035,5.1,38,13,299,190,369,2598,16,25,6.5,126,634,2646,23,4.2,153,109,876,20,,
15,Los Angeles Rams,16,323,5133,1087,4.7,49,20,299,242,456,2673,19,29,5.4,138,592,2460,16,4.2,134,98,743,27,,
16,San Francisco 49ers,16,308,5573,1099,5.1,39,18,336,361,602,3641,18,21,5.9,200,480,1932,17,4,120,95,853,16,,
17,St. Louis Cardinals,16,307,5184,1097,4.7,45,21,305,248,492,2602,12,24,4.9,136,566,2582,24,4.6,145,107,954,24,,
18,Chicago Bears,16,306,4637,1031,4.5,29,13,262,195,373,2151,16,16,5.3,98,627,2486,17,4,140,100,816,24,,
19,Atlanta Falcons,16,300,4929,1033,4.8,43,20,303,251,479,2729,19,23,5.1,150,500,2200,15,4.4,126,107,1026,27,,
20,Denver Broncos,16,289,5142,1044,4.9,40,17,306,260,476,3106,18,23,6,149,525,2036,13,3.9,130,116,996,27,,
21,Tampa Bay Buccaneers,16,273,5049,1055,4.8,41,15,267,183,434,2612,19,26,5.9,137,609,2437,13,4,107,102,905,23,,
22,Baltimore Colts,16,271,4846,1117,4.3,40,21,291,313,550,3172,18,19,5.3,158,515,1674,12,3.3,97,137,1239,36,,
23,Buffalo Bills,16,268,4837,982,4.9,34,19,252,241,465,3216,14,15,6.3,147,474,1621,11,3.4,83,104,887,22,,
24,Minnesota Vikings,16,259,4903,1090,4.5,41,17,311,315,566,3139,23,24,5.2,168,487,1764,9,3.6,112,96,787,31,,
25,Green Bay Packers,16,246,4542,974,4.7,44,22,279,240,444,2681,15,22,5.5,133,483,1861,14,3.9,121,93,681,25,,
26,Kansas City Chiefs,16,238,3976,972,4.1,36,18,241,190,361,1660,7,18,4.1,91,569,2316,18,4.1,122,108,971,28,,
27,New York Giants,16,237,3774,958,3.9,40,18,223,190,401,1954,15,22,4.2,111,498,1820,12,3.7,82,122,1047,30,,
28,Detroit Lions,16,219,4013,944,4.3,46,19,227,218,452,2336,14,27,4.6,131,441,1677,11,3.8,85,110,897,11,,
